Area,meanValue,ISO_A3,richness,NAME_LONG,INCOME_GRP,area,GNI,log_GNI,log_Richness,log_forestArea,log_import
Tunisia,30910.53125,TUN,7,Tunisia,3. Upper middle income,210678.466017495,3517.08333333333,3.54630612243759,0.903089986991944,5.32362220893573,4.49012051903787
Türkiye,544973.484375,TUR,62,Turkey,3. Upper middle income,8130906.87193309,9156.25,3.96176507092353,1.79934054945358,6.91013904027522,5.73637616914903
Turkmenistan,2973.29032258065,TKM,0,Turkmenistan,3. Upper middle income,12042.5040350684,4012.91666666667,3.60356835181302,0,4.08075286247772,3.47338335804636
Uganda,2784.13636363636,UGA,22,Uganda,5. Low income,6457525.22399572,620.833333333333,2.79367399865719,1.36172783601759,6.8100661785176,3.44484646361208
Ukraine,84723,UKR,131,Ukraine,4. Lower middle income,8976511.87028373,2641.25,3.42197390657294,2.12057393120585,6.95310765790173,4.92800645154843
United Kingdom of Great Britain and Northern Ireland,592909.515625,GBR,355,United Kingdom,1. High income: OECD,2670942.73852955,41656.6666666667,4.61969494054762,2.55144999797288,6.42666474002306,5.7729891528874
United Republic of Tanzania,6435,TZA,25,Tanzania,5. Low income,21368267.4235117,774.583333333333,2.88962846786523,1.41497334797082,7.32976933055982,3.80861603542699
United States of America,1700351.234375,USA,651,United States,1. High income: OECD,240346688.730873,53742.0833333333,4.73032257903499,2.81424759573192,8.38083814501463,6.23053889643698
Uruguay,8886.890625,URY,18,Uruguay,3. Upper middle income,1312965.47275915,12057.5,4.081293287718,1.27875360095283,6.11825363630913,3.94879870150761
USSR,160933.258064516,RUS,185,Russian Federation,3. Upper middle income,554718463.595826,8922.91666666667,3.95055550610129,2.26951294421792,8.74407262223112,5.20664850217684
Uzbekistan,190982.125,UZB,31,Uzbekistan,4. Lower middle income,105201.421500055,1635.41666666667,3.21389389407524,1.50514997831991,5.0220257363197,5.28099499529406
Vanuatu,260.935483870968,VUT,12,Vanuatu,4. Lower middle income,488342.185690196,2605,3.41597441137657,1.11394335230684,5.68872513197946,2.4181943354069
Venezuela (Bolivarian Republic of),12032.421875,VEN,31,Venezuela,3. Upper middle income,52272248.0338458,5775,3.76162718456158,1.50514997831991,7.71827118618874,4.08038914272747
Viet Nam,590462.578947369,VNM,43,Vietnam,4. Lower middle income,13711141.4044574,1886.66666666667,3.27592530690687,1.64345267648619,7.13707364146219,5.77119311456596
Yemen,2541.15094339623,YEM,1,Yemen,4. Lower middle income,15590.7823581394,810,2.90902085421116,0.301029995663981,4.19289576394186,3.40520133376238
Zambia,5519.43859649123,ZMB,22,Zambia,4. Lower middle income,19727956.098272,1077.08333333333,3.03265233210122,1.36172783601759,7.29508211480701,3.74197358361125
Zimbabwe,2818.66666666667,ZWE,23,Zimbabwe,5. Low income,4073994.98939004,1111.25,3.04620241442008,1.38021124171161,6.61002059712693,3.45019777023999
